,date,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_vaccinations_per_hundred,population,population_density,diabetes_prevalence,female_smokers,male_smokers,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,life_expectancy,human_development_index
179882,2022-04-18,Africa,Zimbabwe,247297.0,5464.0,16385.78,362.042,67.27,15092171.0,42.729,1.82,1.6,30.7,1899.775,21.4,1.7,61.49,0.571
25657,2022-04-18,Europe,Bulgaria,1150342.0,36810.0,166797.092,5337.37,63.4,6896655.0,65.18,5.81,30.1,44.4,18563.307,1.5,7.454,75.05,0.816
124882,2022-04-18,Asia,Pakistan,1527411.0,30364.0,6782.467,134.831,108.6,225199929.0,255.573,8.35,2.8,36.7,5034.708,4.0,0.6,67.27,0.557
122498,2022-04-18,Europe,Norway,1420033.0,2783.0,259811.451,509.182,206.46,5465629.0,14.462,5.31,19.6,20.7,64800.057,0.2,3.6,82.4,0.957
34237,2022-04-18,Asia,China,630678.0,4648.0,436.692,3.218,229.71,1444216102.0,147.674,9.74,1.9,48.4,15308.712,0.7,4.34,76.91,0.761
39155,2022-04-18,Europe,Croatia,1113547.0,15742.0,272817.388,3856.767,128.31,4081657.0,73.726,5.59,34.3,39.9,22669.797,0.7,5.54,78.49,0.851
44578,2022-04-18,Africa,Djibouti,15598.0,189.0,15563.806,188.586,17.43,1002197.0,41.285,6.05,1.7,24.5,2705.406,22.5,1.4,67.11,0.524
48450,2022-04-18,North America,El Salvador,162089.0,4125.0,24865.997,632.814,162.93,6518500.0,307.811,8.87,2.5,18.8,7292.458,2.2,1.3,73.32,0.673
114294,2022-04-18,Asia,Nepal,978674.0,11951.0,32979.836,402.731,137.19,29674920.0,204.43,7.26,9.5,37.8,2442.804,15.0,0.3,70.78,0.602
50780,2022-04-18,Europe,Estonia,567644.0,2522.0,428349.789,1903.126,149.34,1325188.0,31.033,4.02,24.5,39.3,29481.252,0.5,4.69,78.74,0.892
56278,2022-04-18,Oceania,Fiji,64513.0,862.0,71450.96,954.703,159.25,902899.0,49.562,14.49,10.2,34.8,8702.975,1.4,2.3,67.44,0.743
64125,2022-04-18,Europe,Greece,3242037.0,28652.0,312613.643,2762.771,200.0,10370747.0,83.479,4.55,35.3,52.0,24574.382,1.5,4.21,82.24,0.888
165012,2022-04-18,Asia,Turkey,14999479.0,98587.0,176375.781,1159.264,173.27,85042736.0,104.914,12.13,14.1,41.1,25129.341,0.2,2.81,77.69,0.82
73857,2022-04-18,Europe,Hungary,1879480.0,45865.0,195084.949,4760.663,171.25,9634162.0,108.043,7.55,26.8,34.8,26777.561,0.5,7.02,76.88,0.854
75448,2022-04-18,Asia,India,43045527.0,521966.0,30892.241,374.596,133.88,1393409033.0,450.419,10.39,1.9,20.6,6426.674,21.2,0.53,69.66,0.645
76226,2022-04-18,Asia,Indonesia,6040432.0,155903.0,21856.972,564.126,142.29,276361788.0,145.725,6.32,2.8,76.1,11188.744,5.7,1.04,71.72,0.718
77818,2022-04-18,Asia,Iran,7208968.0,140854.0,84782.702,1656.545,174.48,85028760.0,49.831,9.59,0.8,21.1,19082.62,0.2,1.5,76.68,0.783
149694,2022-04-18,Africa,South Africa,3742107.0,100181.0,62324.827,1668.515,57.23,60041996.0,46.754,5.52,8.1,33.2,12294.876,18.9,2.32,64.13,0.709
110833,2022-04-18,Africa,Morocco,1164411.0,16064.0,31180.014,430.154,145.61,37344787.0,80.08,7.14,0.8,47.1,7485.013,1.0,1.1,76.68,0.686
109269,2022-04-18,Europe,Montenegro,234251.0,2709.0,372980.857,4313.344,106.8,628051.0,46.28,10.08,44.0,47.9,16409.288,1.0,3.861,76.88,0.829
80932,2022-04-18,Asia,Israel,4036677.0,10647.0,434471.747,1145.948,195.02,9291000.0,402.606,6.74,15.4,35.4,33132.32,0.5,2.99,82.97,0.919
160689,2022-04-18,Asia,Thailand,4063844.0,27135.0,58095.711,387.915,187.77,69950844.0,135.132,7.04,1.9,38.8,16277.671,0.1,2.1,77.15,0.777
108506,2022-04-18,Asia,Mongolia,920119.0,2177.0,276371.602,653.895,164.7,3329282.0,1.98,4.82,5.5,46.5,11840.846,0.5,7.0,69.87,0.737
81741,2022-04-18,Europe,Italy,15730676.0,161766.0,260581.995,2679.688,225.92,60367471.0,205.859,4.78,19.8,27.8,35220.084,2.0,3.18,83.51,0.892
88688,2022-04-18,Asia,Kyrgyzstan,200980.0,2991.0,30321.285,451.244,44.95,6628347.0,32.333,7.11,3.6,50.5,3393.474,1.4,4.5,71.45,0.697
89444,2022-04-18,Asia,Laos,200502.0,722.0,27170.656,97.84,141.89,7379358.0,29.715,4.0,7.3,51.2,6397.36,22.7,1.5,67.92,0.613
90227,2022-04-18,Europe,Latvia,813243.0,5715.0,435603.508,3061.169,154.32,1866934.0,31.212,4.91,25.6,51.0,25063.846,0.7,5.57,75.29,0.866
94816,2022-04-18,Europe,Lithuania,1049797.0,9023.0,390279.13,3354.447,166.33,2689862.0,45.135,3.67,21.3,38.0,29524.265,0.7,6.56,75.93,0.882
100350,2022-04-18,Asia,Malaysia,4396165.0,35437.0,134126.765,1081.181,212.63,32776195.0,96.254,16.74,1.0,42.4,26808.164,0.1,1.9,76.16,0.81
151299,2022-04-18,Asia,South Korea,16471940.0,21354.0,321058.005,416.215,235.93,51305184.0,527.967,6.8,6.2,40.9,35938.374,0.2,12.27,83.03,0.916
102652,2022-04-18,Europe,Malta,89028.0,677.0,172501.453,1311.761,244.46,516100.0,1454.037,8.83,20.9,30.2,36513.323,0.2,4.485,82.53,0.895
134571,2022-04-18,Europe,Russia,17820486.0,366209.0,122131.719,2509.793,113.18,145912022.0,8.823,6.18,23.4,58.3,24765.954,0.1,8.05,72.58,0.824
60984,2022-04-18,Asia,Georgia,1653118.0,16793.0,415379.973,4219.587,72.21,3979773.0,65.032,7.11,5.3,55.5,9745.079,4.2,2.6,73.77,0.812
10249,2022-04-18,Oceania,Australia,5459012.0,6804.0,211686.291,263.841,220.83,25788217.0,3.202,5.07,13.0,16.5,44648.71,0.5,3.84,83.44,0.944
172609,2022-04-18,South America,Uruguay,895775.0,7197.0,257026.092,2065.046,232.7,3485152.0,19.751,6.93,14.0,19.9,20551.409,0.1,2.8,77.91,0.817
133762,2022-04-18,Europe,Romania,2882590.0,65340.0,150701.817,3415.975,87.63,19127772.0,85.129,9.74,22.9,37.1,23313.199,5.7,6.892,76.05,0.828
23362,2022-04-18,South America,Brazil,30261088.0,662271.0,141411.287,3094.819,198.33,213993441.0,25.04,8.11,10.1,17.9,14103.452,3.4,2.2,75.88,0.765
14133,2022-04-18,Asia,Bangladesh,1952362.0,29126.0,11739.753,175.138,153.69,166303494.0,1265.036,8.38,1.0,44.7,3523.984,14.8,0.8,72.59,0.632
179122,2022-04-18,Africa,Zambia,318515.0,3973.0,16834.246,209.982,19.27,18920657.0,22.995,3.94,3.1,24.7,3689.251,57.5,2.0,63.89,0.584
