,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
46895,2020-02-14,1.0,1.0,,,,,,,
46896,2020-02-15,1.0,0.0,,,,,,,
46897,2020-02-16,1.0,0.0,,,,,,,
46898,2020-02-17,1.0,0.0,,,,,,,
46899,2020-02-18,1.0,0.0,,,,,,,
46900,2020-02-19,1.0,0.0,,,,,,,
46901,2020-02-20,1.0,0.0,,,,,,,
46902,2020-02-21,1.0,0.0,,,,,,,
46903,2020-02-22,1.0,0.0,,,,,,,
46904,2020-02-23,1.0,0.0,,,,,,,
46905,2020-02-24,1.0,0.0,,,,,,,
46906,2020-02-25,1.0,0.0,,,,,,,
46907,2020-02-26,1.0,0.0,,,,,,,
46908,2020-02-27,1.0,0.0,,,,,,,
46909,2020-02-28,1.0,0.0,,,,,,,
46910,2020-02-29,1.0,0.0,,,,,,,
46911,2020-03-01,2.0,1.0,,,,,,,
46912,2020-03-02,2.0,0.0,,,,,,,
46913,2020-03-03,2.0,0.0,,,,,,,
46914,2020-03-04,2.0,0.0,,,,,,,
46915,2020-03-05,3.0,1.0,,,,,,,
46916,2020-03-06,15.0,12.0,,,,,,,
46917,2020-03-07,15.0,0.0,,,,,,,
46918,2020-03-08,49.0,34.0,1.0,1.0,,,,,
46919,2020-03-09,55.0,6.0,1.0,0.0,,,,,
46920,2020-03-10,59.0,4.0,1.0,0.0,,,,,
46921,2020-03-11,60.0,1.0,1.0,0.0,,,,,
46922,2020-03-12,67.0,7.0,1.0,0.0,,,,,
46923,2020-03-13,80.0,13.0,2.0,1.0,,,,,
46924,2020-03-14,109.0,29.0,2.0,0.0,,,,,
46925,2020-03-15,110.0,1.0,2.0,0.0,,,,,
46926,2020-03-16,150.0,40.0,2.0,0.0,,,,,
46927,2020-03-17,196.0,46.0,4.0,2.0,,,,,
46928,2020-03-18,196.0,0.0,6.0,2.0,,,,,
46929,2020-03-19,256.0,60.0,6.0,0.0,,,,,
46930,2020-03-20,285.0,29.0,8.0,2.0,,,,,
46931,2020-03-21,294.0,9.0,10.0,2.0,,,,,
46932,2020-03-22,327.0,33.0,14.0,4.0,,,,,
46933,2020-03-23,366.0,39.0,19.0,5.0,,,,,
46934,2020-03-24,402.0,36.0,20.0,1.0,,,,,
46935,2020-03-25,456.0,54.0,21.0,1.0,,,,,
46936,2020-03-26,495.0,39.0,24.0,3.0,,,,,
46937,2020-03-27,536.0,41.0,30.0,6.0,,,,,
46938,2020-03-28,576.0,40.0,36.0,6.0,,,,,
46939,2020-03-29,609.0,33.0,40.0,4.0,,,,,
46940,2020-03-30,656.0,47.0,41.0,1.0,,,,,
46941,2020-03-31,710.0,54.0,46.0,5.0,,,,,
46942,2020-04-01,779.0,69.0,52.0,6.0,,,,,
46943,2020-04-02,865.0,86.0,58.0,6.0,,,,,
46944,2020-04-03,985.0,120.0,66.0,8.0,,,,,
46945,2020-04-04,1070.0,85.0,71.0,5.0,,,,,
46946,2020-04-05,1173.0,103.0,78.0,7.0,,,,,
46947,2020-04-06,1322.0,149.0,85.0,7.0,,,,,
46948,2020-04-07,1450.0,128.0,94.0,9.0,,,,,
46949,2020-04-08,1560.0,110.0,103.0,9.0,,,,,
46950,2020-04-09,1699.0,139.0,118.0,15.0,,,,,
46951,2020-04-10,1794.0,95.0,135.0,17.0,,,,,
46952,2020-04-11,1939.0,145.0,146.0,11.0,,,,,
46953,2020-04-12,2065.0,126.0,159.0,13.0,,,,,
