,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
60985,2020-01-27,1.0,1.0,,,,,,,
60986,2020-01-28,4.0,3.0,,,,,,,
60987,2020-01-29,4.0,0.0,,,,,,,
60988,2020-01-30,4.0,0.0,,,,,,,
60989,2020-01-31,5.0,1.0,,,,,,,
60990,2020-02-01,8.0,3.0,,,,,,,
60991,2020-02-02,10.0,2.0,,,,,,,
60992,2020-02-03,12.0,2.0,,,,,,,
60993,2020-02-04,12.0,0.0,,,,,,,
60994,2020-02-05,12.0,0.0,,,,,,,
60995,2020-02-06,12.0,0.0,,,,,,,
60996,2020-02-07,13.0,1.0,,,,,,,
60997,2020-02-08,13.0,0.0,,,,,,,
60998,2020-02-09,14.0,1.0,,,,,,,
60999,2020-02-10,14.0,0.0,,,,,,,
61000,2020-02-11,16.0,2.0,,,,,,,
61001,2020-02-12,16.0,0.0,,,,,,,
61002,2020-02-13,16.0,0.0,,,,,,,
61003,2020-02-14,16.0,0.0,,,,,,,
61004,2020-02-15,16.0,0.0,,,,,,,
61005,2020-02-16,16.0,0.0,,,,,,,
61006,2020-02-17,16.0,0.0,,,,,,,
61007,2020-02-18,16.0,0.0,,,,,,,
61008,2020-02-19,16.0,0.0,,,,,,,
61009,2020-02-20,16.0,0.0,,,,,,,
61010,2020-02-21,16.0,0.0,,,,,,,
61011,2020-02-22,16.0,0.0,,,,,,,
61012,2020-02-23,16.0,0.0,,,,,,,
61013,2020-02-24,16.0,0.0,,,,,,,
61014,2020-02-25,16.0,0.0,,,,,,,
61015,2020-02-26,21.0,5.0,,,,,,,
61016,2020-02-27,26.0,5.0,,,,,,,
61017,2020-02-28,53.0,27.0,,,,,,,
61018,2020-02-29,66.0,13.0,,,,,,,
61019,2020-03-01,117.0,51.0,,,,,,,
61020,2020-03-02,150.0,33.0,,,,,,,
61021,2020-03-03,188.0,38.0,,,,,,,
61022,2020-03-04,240.0,52.0,,,,,,,
61023,2020-03-05,349.0,109.0,,,,,,,
61024,2020-03-06,534.0,185.0,,,,,,,
61025,2020-03-07,684.0,150.0,,,,,,,
61026,2020-03-08,847.0,163.0,,,,,,,
61027,2020-03-09,1112.0,265.0,2.0,2.0,,,,,
61028,2020-03-10,1296.0,184.0,2.0,0.0,,,,,
61029,2020-03-11,1567.0,271.0,3.0,1.0,,,,,
61030,2020-03-12,2369.0,802.0,5.0,2.0,,,,,
61031,2020-03-13,3062.0,693.0,5.0,0.0,,,,,
61032,2020-03-14,3795.0,733.0,8.0,3.0,,,,,
61033,2020-03-15,4838.0,1043.0,12.0,4.0,129291.0,,,,
61034,2020-03-16,6012.0,1174.0,12.0,0.0,,,,,
61035,2020-03-17,7156.0,1144.0,12.0,0.0,,,,,
61036,2020-03-18,8198.0,1042.0,12.0,0.0,,,,,
61037,2020-03-19,10999.0,2801.0,20.0,8.0,,,,,
61038,2020-03-20,13957.0,2958.0,31.0,11.0,,,,,
61039,2020-03-21,16662.0,2705.0,47.0,16.0,,,,,
61040,2020-03-22,18610.0,1948.0,55.0,8.0,503825.0,,,,
61041,2020-03-23,22672.0,4062.0,86.0,31.0,,,,,
61042,2020-03-24,27436.0,4764.0,114.0,28.0,,,,,
61043,2020-03-25,31554.0,4118.0,149.0,35.0,,,,,
61044,2020-03-26,36508.0,4954.0,198.0,49.0,,,,,
61045,2020-03-27,42288.0,5780.0,253.0,55.0,,,,,
61046,2020-03-28,48582.0,6294.0,325.0,72.0,,,,,
61047,2020-03-29,52547.0,3965.0,389.0,64.0,881424.0,,,,
61048,2020-03-30,57298.0,4751.0,455.0,66.0,,,,,
61049,2020-03-31,61913.0,4615.0,583.0,128.0,,,,,
61050,2020-04-01,67366.0,5453.0,732.0,149.0,,,,,
61051,2020-04-02,73522.0,6156.0,872.0,140.0,,,,,
61052,2020-04-03,79696.0,6174.0,1017.0,145.0,,,,,
61053,2020-04-04,85778.0,6082.0,1158.0,141.0,,,,,
61054,2020-04-05,91714.0,5936.0,1342.0,184.0,1299070.0,,,,
61055,2020-04-06,95391.0,3677.0,1434.0,92.0,,,,,
61056,2020-04-07,99225.0,3834.0,1607.0,173.0,,,,,
61057,2020-04-08,103228.0,4003.0,1861.0,254.0,,,,,
61058,2020-04-09,108202.0,4974.0,2107.0,246.0,,,,,
61059,2020-04-10,113525.0,5323.0,2373.0,266.0,,,,,
61060,2020-04-11,117658.0,4133.0,2544.0,171.0,,,,,
61061,2020-04-12,120479.0,2821.0,2673.0,129.0,1682764.0,,,,
61062,2020-04-13,123016.0,2537.0,2799.0,126.0,,,,,
61063,2020-04-14,125098.0,2082.0,2969.0,170.0,,,,,
61064,2020-04-15,127584.0,2486.0,3254.0,285.0,,,,,
61065,2020-04-16,130450.0,2866.0,3569.0,315.0,,,,,
61066,2020-04-17,133830.0,3380.0,3868.0,299.0,,,,,
61067,2020-04-18,137439.0,3609.0,4110.0,242.0,,,,,
61068,2020-04-19,139897.0,2458.0,4294.0,184.0,2022747.0,,,,
61069,2020-04-20,141672.0,1775.0,4404.0,110.0,,,,,
61070,2020-04-21,143457.0,1785.0,4598.0,194.0,,,,,
61071,2020-04-22,145694.0,2237.0,4879.0,281.0,,,,,
61072,2020-04-23,148046.0,2352.0,5094.0,215.0,,,,,
61073,2020-04-24,150383.0,2337.0,5321.0,227.0,,,,,
61074,2020-04-25,152438.0,2055.0,5500.0,179.0,,,,,
61075,2020-04-26,154175.0,1737.0,5640.0,140.0,2386406.0,,,,
61076,2020-04-27,155193.0,1018.0,5750.0,110.0,,,,,
61077,2020-04-28,156337.0,1144.0,5913.0,163.0,,,,,
61078,2020-04-29,157641.0,1304.0,6115.0,202.0,,,,,
61079,2020-04-30,159119.0,1478.0,6288.0,173.0,,,,,
61080,2020-05-01,160758.0,1639.0,6481.0,193.0,,,,,
61081,2020-05-02,161703.0,945.0,6575.0,94.0,,,,,
61082,2020-05-03,162496.0,793.0,6649.0,74.0,2714205.0,,,,
61083,2020-05-04,163175.0,679.0,6692.0,43.0,,,,,
61084,2020-05-05,163860.0,685.0,6831.0,139.0,,,,,
61085,2020-05-06,164807.0,947.0,6996.0,165.0,,,,,
61086,2020-05-07,166091.0,1284.0,7119.0,123.0,,,,,
61087,2020-05-08,167300.0,1209.0,7266.0,147.0,,,,,
61088,2020-05-09,168551.0,1251.0,7369.0,103.0,,,,,
61089,2020-05-10,169218.0,667.0,7395.0,26.0,3099843.0,,,,
61090,2020-05-11,169575.0,357.0,7417.0,22.0,,,,,
61091,2020-05-12,170508.0,933.0,7533.0,116.0,,,,,
61092,2020-05-13,171306.0,798.0,7634.0,101.0,,,,,
