,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
152044,2020-02-01,1.0,1.0,,,,,,,
152045,2020-02-02,1.0,0.0,,,,,,,
152046,2020-02-03,1.0,0.0,,,,,,,
152047,2020-02-04,1.0,0.0,,,,,,,
152048,2020-02-05,1.0,0.0,,,,,,,
152049,2020-02-06,1.0,0.0,,,,,,,
152050,2020-02-07,1.0,0.0,,,,,,,
152051,2020-02-08,1.0,0.0,,,,,,,
152052,2020-02-09,2.0,1.0,,,,,,,
152053,2020-02-10,2.0,0.0,,,,,,,
152054,2020-02-11,2.0,0.0,,,,,,,
152055,2020-02-12,2.0,0.0,,,,,,,
152056,2020-02-13,2.0,0.0,,,,,,,
152057,2020-02-14,2.0,0.0,,,,,,,
152058,2020-02-15,2.0,0.0,,,,,,,
152059,2020-02-16,2.0,0.0,,,,,,,
152060,2020-02-17,2.0,0.0,,,,,,,
152061,2020-02-18,2.0,0.0,,,,,,,
152062,2020-02-19,2.0,0.0,,,,,,,
152063,2020-02-20,2.0,0.0,,,,,,,
152064,2020-02-21,2.0,0.0,,,,,,,
152065,2020-02-22,2.0,0.0,,,,,,,
152066,2020-02-23,2.0,0.0,,,,,,,
152067,2020-02-24,2.0,0.0,,,,,,,
152068,2020-02-25,6.0,4.0,,,,,,,
152069,2020-02-26,13.0,7.0,,,,,,,
152070,2020-02-27,15.0,2.0,,,,,,,
152071,2020-02-28,32.0,17.0,,,,,,,
152072,2020-02-29,45.0,13.0,,,,,,,
152073,2020-03-01,84.0,39.0,,,,,,,
152074,2020-03-02,120.0,36.0,,,,,,,
152075,2020-03-03,165.0,45.0,1.0,1.0,,,,,
152076,2020-03-04,222.0,57.0,2.0,1.0,,,,,
152077,2020-03-05,259.0,37.0,3.0,1.0,,,,,
152078,2020-03-06,400.0,141.0,5.0,2.0,,,,,
152079,2020-03-07,500.0,100.0,10.0,5.0,,,,,
152080,2020-03-08,673.0,173.0,17.0,7.0,,,,,
152081,2020-03-09,1073.0,400.0,28.0,11.0,,,,,
152082,2020-03-10,1695.0,622.0,35.0,7.0,,,,,
152083,2020-03-11,2277.0,582.0,54.0,19.0,,,,,
152084,2020-03-12,2277.0,0.0,55.0,1.0,,,,,
152085,2020-03-13,5232.0,2955.0,133.0,78.0,,,,,
152086,2020-03-14,6391.0,1159.0,195.0,62.0,,,,,
152087,2020-03-15,7798.0,1407.0,289.0,94.0,6303.0,6303.0,,,
152088,2020-03-16,9942.0,2144.0,342.0,53.0,15353.0,9050.0,,,
152089,2020-03-17,11748.0,1806.0,533.0,191.0,27043.0,11690.0,,,
152090,2020-03-18,13910.0,2162.0,623.0,90.0,39815.0,12772.0,,,
152091,2020-03-19,17963.0,4053.0,830.0,207.0,54738.0,14923.0,,,
152092,2020-03-20,20410.0,2447.0,1043.0,213.0,70912.0,16174.0,,,
152093,2020-03-21,25374.0,4964.0,1375.0,332.0,85140.0,14228.0,,,
152094,2020-03-22,28768.0,3394.0,1772.0,397.0,97402.0,12262.0,,,
152095,2020-03-23,35136.0,6368.0,2311.0,539.0,115234.0,17832.0,,,
152096,2020-03-24,39885.0,4749.0,2808.0,497.0,137239.0,22005.0,,,
152097,2020-03-25,49515.0,9630.0,3647.0,839.0,161172.0,23933.0,,,
152098,2020-03-26,57786.0,8271.0,4365.0,718.0,186685.0,25513.0,,,
152099,2020-03-27,65719.0,7933.0,5138.0,773.0,212601.0,25916.0,,,
152100,2020-03-28,73235.0,7516.0,5982.0,844.0,233115.0,20514.0,,,
152101,2020-03-29,80110.0,6875.0,6803.0,821.0,248709.0,15594.0,,,
152102,2020-03-30,87956.0,7846.0,7716.0,913.0,271554.0,22845.0,,,
152103,2020-03-31,95923.0,7967.0,8464.0,748.0,297156.0,25602.0,,,
152104,2020-04-01,104118.0,8195.0,9387.0,923.0,322879.0,25723.0,,,
152105,2020-04-02,112065.0,7947.0,10348.0,961.0,350110.0,27231.0,,,
152106,2020-04-03,119199.0,7134.0,11198.0,850.0,377762.0,27652.0,,,
152107,2020-04-04,126168.0,6969.0,11947.0,749.0,397733.0,19971.0,,,
152108,2020-04-05,131646.0,5478.0,12641.0,694.0,412018.0,14285.0,,,
152109,2020-04-06,136675.0,5029.0,13341.0,700.0,434413.0,22395.0,,,
152110,2020-04-07,141942.0,5267.0,14045.0,704.0,460415.0,26002.0,,,
152111,2020-04-08,148220.0,6278.0,14792.0,747.0,488650.0,28235.0,,,
152112,2020-04-09,153222.0,5002.0,15447.0,655.0,517144.0,28494.0,,,
152113,2020-04-10,158273.0,5051.0,16081.0,634.0,540059.0,22915.0,,,
152114,2020-04-11,163027.0,4754.0,16606.0,525.0,557355.0,17296.0,,,
152115,2020-04-12,166831.0,3804.0,17209.0,603.0,573247.0,15892.0,,,
152116,2020-04-13,170099.0,3268.0,17756.0,547.0,594179.0,20932.0,,,
152117,2020-04-14,172541.0,2442.0,18056.0,300.0,623133.0,28954.0,,,
152118,2020-04-15,177644.0,5103.0,18708.0,652.0,655168.0,32035.0,,,
152119,2020-04-16,184948.0,7304.0,19315.0,607.0,687037.0,31869.0,,,
152120,2020-04-17,190839.0,5891.0,20002.0,687.0,721168.0,34131.0,,,
152121,2020-04-18,191726.0,887.0,20043.0,41.0,749392.0,28224.0,,,
152122,2020-04-19,198674.0,6948.0,20453.0,410.0,770551.0,21159.0,,,
152123,2020-04-20,200210.0,1536.0,20852.0,399.0,799754.0,29203.0,,,
152124,2020-04-21,204178.0,3968.0,21282.0,430.0,840874.0,41120.0,,,
152125,2020-04-22,208389.0,4211.0,21717.0,435.0,881867.0,40993.0,,,
152126,2020-04-23,213024.0,4635.0,22157.0,440.0,922905.0,41038.0,,,
152127,2020-04-24,202990.0,,22524.0,367.0,970291.0,47386.0,,,
152128,2020-04-25,205905.0,2915.0,22902.0,378.0,1002212.0,31921.0,,,
152129,2020-04-26,207634.0,1729.0,23190.0,288.0,1025016.0,22804.0,,,
152130,2020-04-27,209465.0,1831.0,23521.0,331.0,1059463.0,34447.0,,,
152131,2020-04-28,210773.0,1308.0,23822.0,301.0,1107320.0,47857.0,,,
152132,2020-04-29,212917.0,2144.0,24275.0,453.0,1152098.0,44778.0,,,
152133,2020-04-30,213435.0,518.0,24543.0,268.0,1195833.0,43735.0,,,
152134,2020-05-01,215216.0,1781.0,24543.0,0.0,1226109.0,30276.0,,,
152135,2020-05-02,216582.0,1366.0,25100.0,557.0,1247065.0,20956.0,,,
152136,2020-05-03,217466.0,884.0,25264.0,164.0,1263049.0,15984.0,,,
152137,2020-05-04,218011.0,545.0,25428.0,164.0,1293744.0,30695.0,,,
152138,2020-05-05,219329.0,1318.0,25613.0,185.0,1337126.0,43382.0,,,
152139,2020-05-06,220325.0,996.0,25857.0,244.0,1380150.0,43024.0,,,
152140,2020-05-07,221447.0,1122.0,26070.0,213.0,1423631.0,43481.0,,,
152141,2020-05-08,222857.0,1410.0,26299.0,229.0,1466486.0,42855.0,,,
152142,2020-05-09,223578.0,721.0,26478.0,179.0,1496679.0,30193.0,,,
152143,2020-05-10,224350.0,772.0,26621.0,143.0,1512232.0,15553.0,,,
152144,2020-05-11,227436.0,3086.0,26744.0,123.0,1544986.0,32754.0,,,
152145,2020-05-12,228030.0,594.0,26920.0,176.0,1588127.0,43141.0,,,
152146,2020-05-13,228691.0,661.0,27104.0,184.0,1634288.0,46161.0,,,
152147,2020-05-14,229540.0,849.0,27321.0,217.0,1679538.0,45250.0,,,
152148,2020-05-15,230183.0,643.0,27459.0,138.0,1724915.0,45377.0,,,
152149,2020-05-16,230698.0,515.0,27563.0,104.0,1753497.0,28582.0,,,
152150,2020-05-17,230698.0,0.0,27563.0,0.0,1768596.0,15099.0,,,
152151,2020-05-18,231606.0,908.0,27709.0,146.0,1800952.0,32356.0,,,
152152,2020-05-19,232037.0,431.0,27778.0,69.0,1846355.0,45403.0,,,
152153,2020-05-20,232555.0,518.0,27888.0,110.0,1891921.0,45566.0,,,
152154,2020-05-21,233037.0,482.0,27940.0,52.0,1935591.0,43670.0,,,
152155,2020-05-22,234824.0,1787.0,28628.0,688.0,1980062.0,44471.0,,,
152156,2020-05-23,235290.0,466.0,28678.0,50.0,2008016.0,27954.0,,,
152157,2020-05-24,235772.0,482.0,28752.0,74.0,2023935.0,15919.0,,,
152158,2020-05-25,235400.0,,26834.0,,2056658.0,32723.0,,,
152159,2020-05-26,236259.0,859.0,27117.0,283.0,2102269.0,45611.0,,,
152160,2020-05-27,236259.0,0.0,27117.0,0.0,2147190.0,44921.0,,,
152161,2020-05-28,237906.0,1647.0,27119.0,2.0,2187685.0,40495.0,,,
152162,2020-05-29,238564.0,658.0,27121.0,2.0,2232109.0,44424.0,,,
152163,2020-05-30,239228.0,664.0,27125.0,4.0,2259263.0,27154.0,,,
