,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
9436,2020-01-26,4.0,4.0,,,,,,,
9437,2020-01-27,5.0,1.0,,,,,,,
9438,2020-01-28,5.0,0.0,,,,,,,
9439,2020-01-29,6.0,1.0,,,,,,,
9440,2020-01-30,9.0,3.0,,,,,,,
9441,2020-01-31,9.0,0.0,,,,,,,
9442,2020-02-01,12.0,3.0,,,,,,,
9443,2020-02-02,12.0,0.0,,,,,,,
9444,2020-02-03,12.0,0.0,,,,,,,
9445,2020-02-04,13.0,1.0,,,,,,,
9446,2020-02-05,13.0,0.0,,,,,,,
9447,2020-02-06,14.0,1.0,,,,,,,
9448,2020-02-07,15.0,1.0,,,,,,,
9449,2020-02-08,15.0,0.0,,,,,,,
9450,2020-02-09,15.0,0.0,,,,,,,
9451,2020-02-10,15.0,0.0,,,,,,,
9452,2020-02-11,15.0,0.0,,,,,,,
9453,2020-02-12,15.0,0.0,,,,,,,
9454,2020-02-13,15.0,0.0,,,,,,,
9455,2020-02-14,15.0,0.0,,,,,,,
9456,2020-02-15,15.0,0.0,,,,,,,
9457,2020-02-16,15.0,0.0,,,,,,,
9458,2020-02-17,15.0,0.0,,,,,,,
9459,2020-02-18,15.0,0.0,,,,,,,
9460,2020-02-19,15.0,0.0,,,,,,,
9461,2020-02-20,15.0,0.0,,,,,,,
9462,2020-02-21,15.0,0.0,,,,,,,
9463,2020-02-22,15.0,0.0,,,,,,,
9464,2020-02-23,15.0,0.0,,,,,,,
9465,2020-02-24,15.0,0.0,,,,,,,
9466,2020-02-25,15.0,0.0,,,,,,,
9467,2020-02-26,15.0,0.0,,,,,,,
9468,2020-02-27,15.0,0.0,,,,,,,
9469,2020-02-28,15.0,0.0,,,,,,,
9470,2020-02-29,25.0,10.0,,,,,,,
9471,2020-03-01,27.0,2.0,1.0,1.0,,,,,
9472,2020-03-02,30.0,3.0,1.0,0.0,,,,,
9473,2020-03-03,39.0,9.0,1.0,0.0,,,,,
9474,2020-03-04,52.0,13.0,2.0,1.0,,,,,
9475,2020-03-05,55.0,3.0,2.0,0.0,,,,,
9476,2020-03-06,60.0,5.0,2.0,0.0,,,,,
9477,2020-03-07,63.0,3.0,2.0,0.0,6796.0,,,,
9478,2020-03-08,76.0,13.0,3.0,1.0,7216.0,420.0,,,
9479,2020-03-09,91.0,15.0,3.0,0.0,8371.0,1155.0,,,
9480,2020-03-10,107.0,16.0,3.0,0.0,9034.0,663.0,,,
9481,2020-03-11,128.0,21.0,3.0,0.0,10221.0,1187.0,,,
9482,2020-03-12,128.0,0.0,3.0,0.0,14856.0,4635.0,,,
9483,2020-03-13,200.0,72.0,3.0,0.0,16685.0,1829.0,,,
9484,2020-03-14,250.0,50.0,3.0,0.0,20496.0,3811.0,,,
9485,2020-03-15,297.0,47.0,3.0,0.0,22567.0,2071.0,,,
9486,2020-03-16,377.0,80.0,3.0,0.0,44570.0,22003.0,,,
9487,2020-03-17,452.0,75.0,5.0,2.0,51057.0,6487.0,,,
9488,2020-03-18,568.0,116.0,6.0,1.0,58074.0,7017.0,,,
9489,2020-03-19,681.0,113.0,6.0,0.0,103341.0,45267.0,,,
9490,2020-03-20,791.0,110.0,7.0,1.0,110784.0,7443.0,,,
9491,2020-03-21,1071.0,280.0,7.0,0.0,122504.0,11720.0,,,
9492,2020-03-22,1549.0,478.0,7.0,0.0,132593.0,10089.0,,,
9493,2020-03-23,1682.0,133.0,7.0,0.0,143638.0,11045.0,,,
9494,2020-03-24,2044.0,362.0,8.0,1.0,156668.0,13030.0,,,
9495,2020-03-25,2364.0,320.0,8.0,0.0,168436.0,11768.0,,,
9496,2020-03-26,2810.0,446.0,13.0,5.0,179939.0,11503.0,,,
9497,2020-03-27,3143.0,333.0,13.0,0.0,192808.0,12869.0,,,
9498,2020-03-28,3640.0,497.0,14.0,1.0,210069.0,17261.0,,,
9499,2020-03-29,3984.0,344.0,16.0,2.0,223514.0,13445.0,,,
9500,2020-03-30,4361.0,377.0,17.0,1.0,232947.0,9433.0,,,
9501,2020-03-31,4559.0,198.0,18.0,1.0,244929.0,11982.0,,,
9502,2020-04-01,4862.0,303.0,20.0,2.0,256818.0,11889.0,,,
9503,2020-04-02,5116.0,254.0,24.0,4.0,267098.0,10280.0,,,
9504,2020-04-03,5330.0,214.0,28.0,4.0,277847.0,10749.0,,,
9505,2020-04-04,5550.0,220.0,30.0,2.0,287457.0,9610.0,,,
9506,2020-04-05,5687.0,137.0,35.0,5.0,297240.0,9783.0,,,
9507,2020-04-06,5797.0,110.0,40.0,5.0,302759.0,5519.0,,,
9508,2020-04-07,5895.0,98.0,45.0,5.0,310797.0,8038.0,,,
9509,2020-04-08,6010.0,115.0,50.0,5.0,319467.0,8670.0,,,
9510,2020-04-09,6108.0,98.0,51.0,1.0,330234.0,10767.0,,,
9511,2020-04-10,6215.0,107.0,54.0,3.0,338449.0,8215.0,,,
9512,2020-04-11,6303.0,88.0,57.0,3.0,350807.0,12358.0,,,
9513,2020-04-12,6315.0,12.0,60.0,3.0,354043.0,3236.0,,,
9514,2020-04-13,6351.0,36.0,61.0,1.0,362239.0,8196.0,,,
9515,2020-04-14,6415.0,64.0,62.0,1.0,366596.0,4357.0,,,
9516,2020-04-15,6440.0,25.0,63.0,1.0,371377.0,4781.0,,,
9517,2020-04-16,6462.0,22.0,63.0,0.0,380003.0,8626.0,,,
9518,2020-04-17,6522.0,60.0,66.0,3.0,391530.0,11527.0,,,
9519,2020-04-18,6568.0,46.0,67.0,1.0,406510.0,14980.0,,,
9520,2020-04-19,6610.0,42.0,67.0,0.0,421099.0,14589.0,,,
9521,2020-04-20,6623.0,13.0,67.0,0.0,431734.0,10635.0,,,
9522,2020-04-21,6645.0,22.0,67.0,0.0,440107.0,8373.0,,,
9523,2020-04-22,6652.0,7.0,67.0,0.0,452537.0,12430.0,,,
9524,2020-04-23,6662.0,10.0,75.0,8.0,466665.0,14128.0,,,
9525,2020-04-24,6677.0,15.0,79.0,4.0,482370.0,15705.0,,,
