,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,new_tests_reg
29,2020-02-19,2.0,2.0,2.0,2.0,10418.0,14565.162432103054
30,2020-02-20,5.0,3.0,2.0,0.0,10418.0,14565.162432192119
31,2020-02-21,18.0,13.0,4.0,2.0,10418.0,14565.162434932015
32,2020-02-22,28.0,10.0,5.0,1.0,10418.0,14565.162453444027
33,2020-02-23,43.0,15.0,8.0,3.0,10418.0,14565.16252149732
34,2020-02-24,61.0,18.0,12.0,4.0,10418.0,14565.162703358767
35,2020-02-25,95.0,34.0,16.0,4.0,10418.0,14565.163103320567
36,2020-02-26,139.0,44.0,19.0,3.0,10418.0,14565.163874910304
37,2020-02-27,245.0,106.0,26.0,7.0,10418.0,14565.165229788108
38,2020-02-28,388.0,143.0,34.0,8.0,10418.0,14565.167446335565
39,2020-02-29,593.0,205.0,43.0,9.0,10418.0,14565.170877940918
40,2020-03-01,978.0,385.0,54.0,11.0,10418.0,14565.17596098516
41,2020-03-02,1501.0,523.0,66.0,12.0,10418.0,14565.183222533482
42,2020-03-03,2336.0,835.0,77.0,11.0,10418.0,14565.193287736593
43,2020-03-04,2922.0,586.0,92.0,15.0,10418.0,14565.20688694633
44,2020-03-05,3513.0,591.0,107.0,15.0,10418.0,14565.224862550003
45,2020-03-06,4747.0,1234.0,124.0,17.0,10418.0,14565.248175527817
46,2020-03-07,5823.0,1076.0,145.0,21.0,10418.0,14565.277911737718
47,2020-03-08,6566.0,743.0,194.0,49.0,10418.0,14565.315287932
48,2020-03-09,7161.0,595.0,237.0,43.0,10418.0,14565.361657509902
49,2020-03-10,8042.0,881.0,291.0,54.0,10418.0,14565.418516010479
50,2020-03-11,9000.0,958.0,354.0,63.0,10418.0,14565.487506349904
51,2020-03-12,10075.0,1075.0,429.0,75.0,10418.0,14565.570423807423
52,2020-03-13,11364.0,1289.0,514.0,85.0,10418.0,14565.669220764064
53,2020-03-14,12729.0,1365.0,611.0,97.0,10418.0,14565.786011198214
54,2020-03-15,13938.0,1209.0,724.0,113.0,10418.0,14565.92307494214
55,2020-03-16,14991.0,1053.0,853.0,129.0,10418.0,14566.082861703499
56,2020-03-17,16169.0,1178.0,988.0,135.0,10418.0,14566.267994855809
57,2020-03-18,17361.0,1192.0,1135.0,147.0,10418.0,14566.481275001894
58,2020-03-19,18407.0,1046.0,1284.0,149.0,10418.0,14566.725683314206
59,2020-03-20,19644.0,1237.0,1433.0,149.0,10418.0,14567.004384655953
60,2020-03-21,20610.0,966.0,1556.0,123.0,10418.0,14567.320730486896
61,2020-03-22,21638.0,1028.0,1685.0,129.0,10418.0,14567.67826155764
62,2020-03-23,23049.0,1411.0,1812.0,127.0,10418.0,14568.080710396263
63,2020-03-24,24811.0,1762.0,1934.0,122.0,10418.0,14568.532003591024
64,2020-03-25,27017.0,2206.0,2077.0,143.0,10418.0,14569.036263872897
65,2020-03-26,29406.0,2389.0,2234.0,157.0,10418.0,14569.59781200166
66,2020-03-27,32332.0,2926.0,2378.0,144.0,10418.0,14570.221168459202
67,2020-03-28,35408.0,3076.0,2517.0,139.0,10418.0,14570.91105495369
68,2020-03-29,38309.0,2901.0,2640.0,123.0,10418.0,14571.67239573823
69,2020-03-30,41495.0,3186.0,2757.0,117.0,10418.0,14572.510318747572
70,2020-03-31,44605.0,3110.0,2898.0,141.0,10418.0,14573.430156556462
71,2020-04-01,47593.0,2988.0,3036.0,138.0,10418.0,14574.437447163087
72,2020-04-02,50468.0,2875.0,3160.0,124.0,10418.0,14575.537934601176
73,2020-04-03,53183.0,2715.0,3294.0,134.0,10418.0,14576.737569384162
74,2020-04-04,55743.0,2560.0,3452.0,158.0,10418.0,14578.042508784856
75,2020-04-05,58226.0,2483.0,3603.0,151.0,10418.0,14579.459116954007
76,2020-04-06,60500.0,2274.0,3739.0,136.0,10418.0,14580.993964881141
77,2020-04-07,62589.0,2089.0,3872.0,133.0,10418.0,14582.653830200981
78,2020-04-08,64586.0,1997.0,3993.0,121.0,10418.0,14584.445696848768
79,2020-04-09,66220.0,1634.0,4110.0,117.0,10418.0,14586.376754567753
80,2020-04-10,68192.0,1972.0,4232.0,122.0,11175.0,14588.454398272086
81,2020-04-11,70029.0,1837.0,4357.0,125.0,9135.0,14590.686227268337
82,2020-04-12,71686.0,1657.0,4474.0,117.0,11685.0,14593.080044338809
83,2020-04-13,73303.0,1617.0,4585.0,111.0,11845.0,14595.643854689795
84,2020-04-14,74877.0,1574.0,4683.0,98.0,11845.0,14598.385864767917
85,2020-04-15,76389.0,1512.0,4777.0,94.0,11845.0,14601.314480947609
86,2020-04-16,77995.0,1606.0,4869.0,92.0,11136.0,14604.43830809283
87,2020-04-17,79494.0,1499.0,4958.0,89.0,9539.0,14607.76614799602
88,2020-04-18,80868.0,1374.0,5031.0,73.0,10258.0,14611.306997697311
89,2020-04-19,82211.0,1343.0,5118.0,87.0,11525.0,14615.070047686953
90,2020-04-20,83505.0,1294.0,5209.0,91.0,11350.0,14619.064679993915
91,2020-04-21,84802.0,1297.0,5297.0,88.0,12711.0,14623.30046616355
92,2020-04-22,85996.0,1194.0,5391.0,94.0,10420.0,14627.787165127234
93,2020-04-23,87026.0,1030.0,5481.0,90.0,10420.0,14632.534720966809
94,2020-04-24,88194.0,1168.0,5574.0,93.0,10420.0,14637.553260576677
95,2020-04-25,89328.0,1134.0,5650.0,76.0,10148.0,14642.853091226325
96,2020-04-26,90481.0,1153.0,5710.0,60.0,11238.0,14648.444698026064
97,2020-04-27,91472.0,991.0,5806.0,96.0,11016.0,14654.338741298707
98,2020-04-28,92584.0,1112.0,5877.0,71.0,9909.0,14660.546053859916
99,2020-04-29,93657.0,1073.0,5957.0,80.0,9909.0,14667.07763820988
100,2020-04-30,94640.0,983.0,6028.0,71.0,9909.0,14673.944663638995
101,2020-05-01,95646.0,1006.0,6091.0,63.0,11728.0,14681.158463250173
102,2020-05-02,96448.0,802.0,6156.0,65.0,9518.0,14688.730530900362
103,2020-05-03,97424.0,976.0,6203.0,47.0,11732.0,14696.672518063868
104,2020-05-04,98647.0,1223.0,6277.0,74.0,12015.0,14704.996230620005
