,date,total_cases,new_cases,total_deaths,new_deaths,new_tests,new_tests_reg
29,2020-02-19,2.0,2.0,2.0,2.0,10418.0,14567.66080452683
30,2020-02-20,5.0,3.0,2.0,0.0,10418.0,14567.660804616975
31,2020-02-21,18.0,13.0,4.0,2.0,10418.0,14567.660807357675
32,2020-02-22,28.0,10.0,5.0,1.0,10418.0,14567.660825868858
33,2020-02-23,43.0,15.0,8.0,3.0,10418.0,14567.660893916172
34,2020-02-24,61.0,18.0,12.0,4.0,10418.0,14567.661075759826
35,2020-02-25,95.0,34.0,16.0,4.0,10418.0,14567.661475681187
36,2020-02-26,139.0,44.0,19.0,3.0,10418.0,14567.662247191893
37,2020-02-27,245.0,106.0,26.0,7.0,10418.0,14567.663601930097
38,2020-02-28,388.0,143.0,34.0,8.0,10418.0,14567.665818248472
39,2020-02-29,593.0,205.0,43.0,9.0,10418.0,14567.669249498567
40,2020-03-01,978.0,385.0,54.0,11.0,10418.0,14567.67433201606
41,2020-03-02,1501.0,523.0,66.0,12.0,10418.0,14567.681592811405
42,2020-03-03,2336.0,835.0,77.0,11.0,10418.0,14567.691656970386
43,2020-03-04,2922.0,586.0,92.0,15.0,10418.0,14567.705254769002
44,2020-03-05,3513.0,591.0,107.0,15.0,10418.0,14567.72322850708
45,2020-03-06,4747.0,1234.0,124.0,17.0,10418.0,14567.746539065025
46,2020-03-07,5823.0,1076.0,145.0,21.0,10418.0,14567.776272188024
47,2020-03-08,6566.0,743.0,194.0,49.0,10418.0,14567.81364450201
48,2020-03-09,7161.0,595.0,237.0,43.0,10418.0,14567.860009265676
49,2020-03-10,8042.0,881.0,291.0,54.0,10418.0,14567.916861862766
50,2020-03-11,9000.0,958.0,354.0,63.0,10418.0,14567.985845038847
51,2020-03-12,10075.0,1075.0,429.0,75.0,10418.0,14568.06875388673
52,2020-03-13,11364.0,1289.0,514.0,85.0,10418.0,14568.167540584695
53,2020-03-14,12729.0,1365.0,611.0,97.0,10418.0,14568.284318891605
54,2020-03-15,13938.0,1209.0,724.0,113.0,10418.0,14568.421368402987
55,2020-03-16,14991.0,1053.0,853.0,129.0,10418.0,14568.581138572112
56,2020-03-17,16169.0,1178.0,988.0,135.0,10418.0,14568.766252500087
57,2020-03-18,17361.0,1192.0,1135.0,147.0,10418.0,14568.979510498924
58,2020-03-19,18407.0,1046.0,1284.0,149.0,10418.0,14569.22389343152
59,2020-03-20,19644.0,1237.0,1433.0,149.0,10418.0,14569.50256583246
60,2020-03-21,20610.0,966.0,1556.0,123.0,10418.0,14569.818878813507
61,2020-03-22,21638.0,1028.0,1685.0,129.0,10418.0,14570.176372757634
62,2020-03-23,23049.0,1411.0,1812.0,127.0,10418.0,14570.578779805377
63,2020-03-24,24811.0,1762.0,1934.0,122.0,10418.0,14571.03002613731
