,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
57090,2020-01-24,2.0,2.0,,,,,,,
57091,2020-01-25,3.0,1.0,,,,,,,
57092,2020-01-26,3.0,0.0,,,,,,,
57093,2020-01-27,3.0,0.0,,,,,,,
57094,2020-01-28,4.0,1.0,,,,,,,
57095,2020-01-29,5.0,1.0,,,,,,,
57096,2020-01-30,5.0,0.0,,,,,,,
57097,2020-01-31,5.0,0.0,,,,,,,
57098,2020-02-01,6.0,1.0,,,,,,,
57099,2020-02-02,6.0,0.0,,,,,,,
57100,2020-02-03,6.0,0.0,,,,,,,
57101,2020-02-04,6.0,0.0,,,,,,,
57102,2020-02-05,6.0,0.0,,,,,,,
57103,2020-02-06,6.0,0.0,,,,,,,
57104,2020-02-07,6.0,0.0,,,,,,,
57105,2020-02-08,11.0,5.0,,,,,,,
57106,2020-02-09,11.0,0.0,,,,,,,
57107,2020-02-10,11.0,0.0,,,,,,,
57108,2020-02-11,11.0,0.0,,,,,,,
57109,2020-02-12,11.0,0.0,,,,,,,
57110,2020-02-13,11.0,0.0,,,,,,,
57111,2020-02-14,11.0,0.0,,,,,,,
57112,2020-02-15,12.0,1.0,1.0,1.0,,,,,
57113,2020-02-16,12.0,0.0,1.0,0.0,,,,,
57114,2020-02-17,12.0,0.0,1.0,0.0,,,,,
57115,2020-02-18,12.0,0.0,1.0,0.0,,,,,
57116,2020-02-19,12.0,0.0,1.0,0.0,,,,,
57117,2020-02-20,12.0,0.0,1.0,0.0,,,,,
57118,2020-02-21,12.0,0.0,1.0,0.0,,,,,
57119,2020-02-22,12.0,0.0,1.0,0.0,,,,,
57120,2020-02-23,12.0,0.0,1.0,0.0,,,,,
57121,2020-02-24,12.0,0.0,1.0,0.0,,,,,
57122,2020-02-25,14.0,2.0,1.0,0.0,,,,,
57123,2020-02-26,18.0,4.0,2.0,1.0,,,,,
57124,2020-02-27,38.0,20.0,2.0,0.0,,,,,
57125,2020-02-28,57.0,19.0,2.0,0.0,,,,,
57126,2020-02-29,100.0,43.0,2.0,0.0,,,,,
57127,2020-03-01,130.0,30.0,2.0,0.0,,,,,
57128,2020-03-02,191.0,61.0,3.0,1.0,,,,,
57129,2020-03-03,212.0,21.0,4.0,1.0,,,,,
57130,2020-03-04,288.0,76.0,4.0,0.0,,,,,
57131,2020-03-05,426.0,138.0,7.0,3.0,,,,,
57132,2020-03-06,616.0,190.0,9.0,2.0,,,,,
57133,2020-03-07,948.0,332.0,16.0,7.0,,,,,
57134,2020-03-08,1125.0,177.0,19.0,3.0,,,,,
57135,2020-03-09,1411.0,286.0,25.0,6.0,,,,,
57136,2020-03-10,1783.0,372.0,33.0,8.0,,,,,
57137,2020-03-11,2293.0,510.0,48.0,15.0,,,,,
57138,2020-03-12,2293.0,0.0,48.0,0.0,,,,,
57139,2020-03-13,3678.0,1385.0,79.0,31.0,,,,,
57140,2020-03-14,4493.0,815.0,91.0,12.0,,,,,
57141,2020-03-15,4529.0,36.0,91.0,0.0,,,,,
57142,2020-03-16,6680.0,2151.0,149.0,58.0,,,,,
57143,2020-03-17,7712.0,1032.0,149.0,0.0,,,,,
57144,2020-03-18,9121.0,1409.0,149.0,0.0,,,,,
57145,2020-03-19,10962.0,1841.0,244.0,95.0,,,,,
57146,2020-03-20,12745.0,1783.0,451.0,207.0,,,,,
57147,2020-03-21,14444.0,1699.0,563.0,112.0,,,,,
57148,2020-03-22,16739.0,2295.0,676.0,113.0,,,,,
57149,2020-03-23,20094.0,3355.0,862.0,186.0,,,,,
57150,2020-03-24,22337.0,2243.0,1102.0,240.0,,,,,
57151,2020-03-25,25292.0,2955.0,1333.0,231.0,,,,,
57152,2020-03-26,29208.0,3916.0,1697.0,364.0,,,,,
57153,2020-03-27,33000.0,3792.0,1996.0,299.0,,,,,
57154,2020-03-28,37648.0,4648.0,2314.0,318.0,,,,,
57155,2020-03-29,40251.0,2603.0,2608.0,294.0,,,,,
57156,2020-03-30,44594.0,4343.0,3025.0,417.0,,,,,
57157,2020-03-31,52229.0,7635.0,3526.0,501.0,,,,,
57158,2020-04-01,57072.0,4843.0,4779.0,1253.0,,,,,
57159,2020-04-02,59172.0,2100.0,5388.0,609.0,,,,,
57160,2020-04-03,64395.0,5223.0,6510.0,1122.0,,,,,
57161,2020-04-04,47319.0,,7562.0,1052.0,,,,,
57162,2020-04-05,48165.0,846.0,8081.0,519.0,,,,,
57163,2020-04-06,50823.0,2658.0,8914.0,833.0,,,,,
57164,2020-04-07,47329.0,,10330.0,1416.0,,,,,
57165,2020-04-08,51180.0,3851.0,10874.0,544.0,,,,,
57166,2020-04-09,54964.0,3784.0,12214.0,1340.0,,,,,
57167,2020-04-10,56530.0,1566.0,13199.0,985.0,,,,,
57168,2020-04-11,57975.0,1445.0,13835.0,636.0,,,,,
57169,2020-04-12,108720.0,50745.0,14396.0,561.0,,,,,
57170,2020-04-13,111859.0,3139.0,14969.0,573.0,,,,,
57171,2020-04-14,129307.0,17448.0,15712.0,743.0,,,,,
57172,2020-04-15,132514.0,3207.0,17150.0,1438.0,,,,,
57173,2020-04-16,145092.0,12578.0,17903.0,753.0,,,,,
57174,2020-04-17,146983.0,1891.0,18664.0,761.0,,,,,
57175,2020-04-18,150787.0,3804.0,19305.0,641.0,,,,,
57176,2020-04-19,151881.0,1094.0,19694.0,389.0,,,,,
57177,2020-04-20,154327.0,2446.0,20241.0,547.0,,,,,
57178,2020-04-21,156993.0,2666.0,20769.0,528.0,,,,,
57179,2020-04-22,158791.0,1798.0,21313.0,544.0,,,,,
57180,2020-04-23,157082.0,,21829.0,516.0,,,,,
57181,2020-04-24,159893.0,2811.0,22218.0,389.0,,,,,
57182,2020-04-25,161571.0,1678.0,22587.0,369.0,,,,,
57183,2020-04-26,162204.0,633.0,22830.0,243.0,,,,,
57184,2020-04-27,165890.0,3686.0,23267.0,437.0,,,,,
57185,2020-04-28,169021.0,3131.0,23634.0,367.0,,,,,
57186,2020-04-29,167566.0,,24060.0,426.0,,,,,
57187,2020-04-30,168784.0,1218.0,24349.0,289.0,,,,,
57188,2020-05-01,169310.0,526.0,24566.0,217.0,,,,,
57189,2020-05-02,170102.0,792.0,24763.0,197.0,,,,,
57190,2020-05-03,170463.0,361.0,24898.0,135.0,,,,,
57191,2020-05-04,171025.0,562.0,25204.0,306.0,,,,,
57192,2020-05-05,172140.0,1115.0,25537.0,333.0,,,,,
57193,2020-05-06,176276.0,4136.0,25812.0,275.0,,,,,
57194,2020-05-07,177017.0,741.0,25991.0,179.0,,,,,
57195,2020-05-08,177548.0,531.0,26233.0,242.0,,,,,
57196,2020-05-09,178076.0,528.0,26313.0,80.0,,,,,
57197,2020-05-10,178325.0,249.0,26383.0,70.0,,,,,
57198,2020-05-11,178640.0,315.0,26646.0,263.0,,,,,
57199,2020-05-12,179393.0,753.0,26994.0,348.0,,,,,
57200,2020-05-13,179914.0,521.0,27079.0,85.0,39839.0,39839.0,,,
57201,2020-05-14,180556.0,642.0,27430.0,351.0,83013.0,43174.0,,,
57202,2020-05-15,181069.0,513.0,27532.0,102.0,131393.0,48380.0,,,
57203,2020-05-16,181484.0,415.0,27630.0,98.0,148055.0,16662.0,,,
57204,2020-05-17,181624.0,140.0,28113.0,483.0,154705.0,6650.0,,,
57205,2020-05-18,182068.0,444.0,28242.0,129.0,206598.0,51893.0,,,
57206,2020-05-19,182569.0,501.0,28025.0,,259952.0,53354.0,,,
57207,2020-05-20,183050.0,481.0,28136.0,111.0,313624.0,53672.0,,,
57208,2020-05-21,183317.0,267.0,28218.0,82.0,323390.0,9766.0,,,
57209,2020-05-22,184073.0,756.0,28366.0,148.0,374296.0,50906.0,,,
57210,2020-05-23,184619.0,546.0,28452.0,86.0,393400.0,19104.0,,,
57211,2020-05-24,184180.0,,28372.0,,400635.0,7235.0,,,
57212,2020-05-25,184505.0,325.0,28461.0,89.0,452564.0,51929.0,,,
57213,2020-05-26,184760.0,255.0,28598.0,137.0,506674.0,54110.0,,,
57214,2020-05-27,184933.0,173.0,28599.0,1.0,553410.0,46736.0,,,
57215,2020-05-28,188275.0,3342.0,28666.0,67.0,598112.0,44702.0,,,
57216,2020-05-29,188869.0,594.0,28717.0,51.0,647732.0,49620.0,,,
57217,2020-05-30,190663.0,1794.0,28774.0,57.0,668061.0,20329.0,,,
57218,2020-05-31,190895.0,232.0,28805.0,31.0,676608.0,8547.0,,,
57219,2020-06-01,191301.0,406.0,28837.0,32.0,686653.0,10045.0,,,
57220,2020-06-02,190654.0,,28943.0,106.0,735750.0,49097.0,,,
57221,2020-06-03,187428.0,,29024.0,81.0,780716.0,44966.0,,,
57222,2020-06-04,191788.0,4360.0,29069.0,45.0,822300.0,41584.0,,,
57223,2020-06-05,192369.0,581.0,29114.0,45.0,869053.0,46753.0,,,
57224,2020-06-06,192941.0,572.0,29145.0,31.0,888774.0,19721.0,,,
57225,2020-06-07,193282.0,341.0,29158.0,13.0,896361.0,7587.0,,,
57226,2020-06-08,193556.0,274.0,29213.0,55.0,941728.0,45367.0,,,
57227,2020-06-09,194108.0,552.0,29301.0,88.0,985665.0,43937.0,,,
57228,2020-06-10,194733.0,625.0,29322.0,21.0,1026366.0,40701.0,,,
57229,2020-06-11,195097.0,364.0,29349.0,27.0,1065177.0,38811.0,,,
57230,2020-06-12,195898.0,801.0,29377.0,28.0,1109747.0,44570.0,,,
57231,2020-06-13,196395.0,497.0,29401.0,24.0,1128973.0,19226.0,,,
57232,2020-06-14,196785.0,390.0,29411.0,10.0,1135640.0,6667.0,,,
57233,2020-06-15,196921.0,136.0,29439.0,28.0,1179535.0,43895.0,,,
57234,2020-06-16,197584.0,663.0,29553.0,114.0,1222590.0,43055.0,,,
57235,2020-06-17,198073.0,489.0,29578.0,25.0,1262767.0,40177.0,,,
57236,2020-06-18,198659.0,586.0,29606.0,28.0,1300726.0,37959.0,,,
57237,2020-06-19,199446.0,787.0,29620.0,14.0,1346777.0,46051.0,,,
57238,2020-06-20,200065.0,619.0,29638.0,18.0,1368512.0,21735.0,,,
57239,2020-06-21,200408.0,343.0,29644.0,6.0,1375027.0,6515.0,,,
57240,2020-06-22,200550.0,142.0,29668.0,24.0,1423531.0,48504.0,,,
57241,2020-06-23,201248.0,698.0,29722.0,54.0,1471977.0,48446.0,,,
57242,2020-06-24,201516.0,268.0,29735.0,13.0,1517628.0,45651.0,,,
57243,2020-06-25,201771.0,255.0,29754.0,19.0,1557592.0,39964.0,,,
57244,2020-06-26,203034.0,1263.0,29780.0,26.0,1608925.0,51333.0,,,
57245,2020-06-27,203482.0,448.0,29781.0,1.0,1633593.0,24668.0,,,
57246,2020-06-28,203073.0,,29781.0,0.0,1641837.0,8244.0,,,
57247,2020-06-29,203718.0,645.0,29816.0,35.0,1703652.0,61815.0,,,
