,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,people_vaccinated,people_fully_vaccinated,new_vaccinations
77029,2020-02-19,2.0,2.0,2.0,2.0,,,,,
77030,2020-02-20,5.0,3.0,2.0,0.0,,,,,
77031,2020-02-21,18.0,13.0,4.0,2.0,,,,,
77032,2020-02-22,28.0,10.0,5.0,1.0,,,,,
77033,2020-02-23,43.0,15.0,8.0,3.0,,,,,
77034,2020-02-24,61.0,18.0,12.0,4.0,,,,,
77035,2020-02-25,95.0,34.0,16.0,4.0,,,,,
77036,2020-02-26,139.0,44.0,19.0,3.0,,,,,
77037,2020-02-27,245.0,106.0,26.0,7.0,,,,,
77038,2020-02-28,388.0,143.0,34.0,8.0,,,,,
77039,2020-02-29,593.0,205.0,43.0,9.0,,,,,
77040,2020-03-01,978.0,385.0,54.0,11.0,,,,,
77041,2020-03-02,1501.0,523.0,66.0,12.0,,,,,
77042,2020-03-03,2336.0,835.0,77.0,11.0,,,,,
77043,2020-03-04,2922.0,586.0,92.0,15.0,,,,,
77044,2020-03-05,3513.0,591.0,107.0,15.0,,,,,
77045,2020-03-06,4747.0,1234.0,124.0,17.0,,,,,
77046,2020-03-07,5823.0,1076.0,145.0,21.0,,,,,
77047,2020-03-08,6566.0,743.0,194.0,49.0,,,,,
77048,2020-03-09,7161.0,595.0,237.0,43.0,,,,,
77049,2020-03-10,8042.0,881.0,291.0,54.0,,,,,
77050,2020-03-11,9000.0,958.0,354.0,63.0,,,,,
77051,2020-03-12,10075.0,1075.0,429.0,75.0,,,,,
77052,2020-03-13,11364.0,1289.0,514.0,85.0,,,,,
77053,2020-03-14,12729.0,1365.0,611.0,97.0,,,,,
77054,2020-03-15,13938.0,1209.0,724.0,113.0,,,,,
77055,2020-03-16,14991.0,1053.0,853.0,129.0,,,,,
77056,2020-03-17,16169.0,1178.0,988.0,135.0,,,,,
77057,2020-03-18,17361.0,1192.0,1135.0,147.0,,,,,
77058,2020-03-19,18407.0,1046.0,1284.0,149.0,,,,,
77059,2020-03-20,19644.0,1237.0,1433.0,149.0,,,,,
77060,2020-03-21,20610.0,966.0,1556.0,123.0,,,,,
77061,2020-03-22,21638.0,1028.0,1685.0,129.0,,,,,
77062,2020-03-23,23049.0,1411.0,1812.0,127.0,,,,,
77063,2020-03-24,24811.0,1762.0,1934.0,122.0,,,,,
77064,2020-03-25,27017.0,2206.0,2077.0,143.0,,,,,
77065,2020-03-26,29406.0,2389.0,2234.0,157.0,,,,,
77066,2020-03-27,32332.0,2926.0,2378.0,144.0,,,,,
77067,2020-03-28,35408.0,3076.0,2517.0,139.0,,,,,
77068,2020-03-29,38309.0,2901.0,2640.0,123.0,,,,,
77069,2020-03-30,41495.0,3186.0,2757.0,117.0,,,,,
77070,2020-03-31,44605.0,3110.0,2898.0,141.0,,,,,
77071,2020-04-01,47593.0,2988.0,3036.0,138.0,,,,,
77072,2020-04-02,50468.0,2875.0,3160.0,124.0,,,,,
77073,2020-04-03,53183.0,2715.0,3294.0,134.0,,,,,
77074,2020-04-04,55743.0,2560.0,3452.0,158.0,,,,,
77075,2020-04-05,58226.0,2483.0,3603.0,151.0,189790.0,,,,
77076,2020-04-06,60500.0,2274.0,3739.0,136.0,,,,,
77077,2020-04-07,62589.0,2089.0,3872.0,133.0,,,,,
